time_x,LW_u,LW_d
79287.7708333333,413.5028,378.6567
79287.7916666667,412.0122,369.3018
79287.8125,409.9688,367.7294
79287.8333333333,407.7124,368.6104
79287.8541666667,406.2292,368.6154
79287.875,404.4323,365.5138
79287.8958333333,403.2665,368.0257
79287.9166666667,403.272,379.69
79287.9375,403.5214,384.0734
79287.9583333333,403.8481,390.0242
79287.9791666667,404.1573,389.2699
79288,404.34,385.3266
79288.0208333333,403.9042,381.5618
79288.0416666667,403.4709,378.3705
79288.0625,403.0699,375.7336
79288.0833333333,403.9976,375.0985
79288.1041666667,403.796,372.5277
79288.125,403.849,373.1033
79288.1458333333,403.6382,378.3286
79288.1666666667,402.7465,384.7664
79288.1875,403.9231,389.2697
79288.2083333333,404.1387,380.6389
79288.2291666667,403.7521,387.1892
79288.25,404.4276,392.3738
79288.2708333333,404.2552,388.7189
79288.2916666667,403.8393,393.521
79288.3125,405.258,389.0844
79288.3333333333,409.3643,380.1357
79288.3541666667,417.6042,372.5218
79288.375,422.8557,382.7371
79288.3958333333,426.3853,383.3313
79288.4166666667,431.2963,381.0794
79288.4375,437.209,384.1747
79288.4583333333,445.2802,391.7471
79288.4791666667,451.6171,398.1565
79288.5,454.7762,406.0566
79288.5208333333,460.8674,403.3398
79288.5416666667,458.3445,406.1336
79288.5625,456.8723,407.4068
79288.5833333333,459.8582,411.1244
79288.6041666667,461.4308,416.4743
79288.625,458.2912,419.7426
79288.6458333333,456.0533,410.0135
79288.6666666667,450.0392,411.5836
79288.6875,437.5151,408.4587
79288.7083333333,427.6633,389.3648
79288.7291666667,428.0318,392.9573
79288.75,424.3929,376.1194
79288.7708333333,418.1898,373.7071
79288.7916666667,414.6883,375.7162
79288.8125,412.7119,375.8837
79288.8333333333,410.6984,379.5267
79288.8541666667,409.8929,383.6377
79288.875,409.2671,384.9613
79288.8958333333,408.4302,379.5591
79288.9166666667,406.5118,368.8151
79288.9375,406.5311,386.1221
79288.9583333333,407.0417,387.0376
79288.9791666667,405.6486,371.553
79289,405.2603,377.5928
79289.0208333333,405.4341,387.4299
79289.0416666667,406.0369,395.4875
79289.0625,405.6421,393.4225
79289.0833333333,405.0236,389.8538
79289.1041666667,404.0636,387.6998
79289.125,403.8141,392.1203
79289.1458333333,401.5006,381.4242
79289.1666666667,400.0502,379.0906
79289.1875,400.4828,391.9013
79289.2083333333,400.8339,392.8715
79289.2291666667,400.4851,387.3778
79289.25,400.5085,387.1453
79289.2708333333,400.5273,381.4733
79289.2916666667,399.6689,374.1701
79289.3125,401,373.0594
79289.3333333333,404.554,372.921
79289.3541666667,408.1066,364.7669
79289.375,412.3051,368.6977
79289.3958333333,414.7677,372.3577
79289.4166666667,418.3139,374.1175
79289.4375,424.5364,378.3254
79289.4583333333,430.7318,376.7068
79289.4791666667,436.7678,377.821
79289.5,441.1023,384.4034
79289.5208333333,444.0203,395.1042
79289.5416666667,452.201,398.6935
79289.5625,454.8608,396.6792
79289.5833333333,456.5085,397.273
79289.6041666667,452.8175,390.7963
79289.625,454.2833,391.7891
79289.6458333333,452.8715,394.1662
79289.6666666667,452.3504,389.9621
79289.6875,449.5045,389.1319
79289.7083333333,445.4417,384.5717
79289.7291666667,441.8477,387.4508
79289.75,437.5789,384.4828
79289.7708333333,433.9942,383.7523
79289.7916666667,430.1437,389.0562
79289.8125,426.5557,392.9534
79289.8333333333,422.0931,392.8495
79289.8541666667,419.2277,391.0656
79289.875,417.3822,382.8359
79289.8958333333,416.0128,380.9943
79289.9166666667,414.2858,379.8085
79289.9375,411.8186,374.7787
79289.9583333333,409.4724,371.7613
79289.9791666667,408.5207,378.1851
79290,408.5795,381.4063
79290.0208333333,408.792,388.3293
79290.0416666667,408.0599,380.4074
79290.0625,399.6873,392.472
79290.0833333333,391.8495,386.1754
79290.1041666667,390.1086,386.6221
79290.125,391.9608,382.7275
79290.1458333333,392.6009,382.7937
79290.1666666667,392.5948,381.8607
79290.1875,392.1028,379.4388
79290.2083333333,392.5765,378.2856
79290.2291666667,395.0848,389.1371
79290.25,396.2183,386.5792
79290.2708333333,396.4927,380.2092
79290.2916666667,396.8578,381.7741
79290.3125,397.2828,374.5814
79290.3333333333,402.3911,370.0261
79290.3541666667,405.4005,365.3805
79290.375,410.6779,364.1284
79290.3958333333,417.8734,365.0516
