time_x,LW_u,LW_d
77074.4791666667,490.3292,403.9308
77074.5,502.5314,397.5752
77074.5208333333,504.3604,394.3371
77074.5416666667,516.1797,403.351
77074.5625,529.7535,406.1276
77074.5833333333,532.1183,407.0946
77074.6041666667,500.4323,411.6373
77074.625,492.7414,410.2781
77074.6458333333,496.2243,417.8701
77074.6666666667,459.5531,425.4878
77074.6875,434.1475,423.8022
77074.7083333333,426.5972,412.6803
77074.7291666667,429.5419,406.4259
77074.75,431.1427,402.4747
77074.7708333333,428.5386,386.5461
77074.7916666667,428.0816,396.3252
77074.8125,427.9789,401.4322
77074.8333333333,426.4154,403.5297
77074.8541666667,425.5408,401.6767
77074.875,426.2996,404.858
77074.8958333333,426.8759,407.1649
77074.9166666667,427.8481,415.1683
77074.9375,427.3905,412.7967
77074.9583333333,426.2003,416.6532
77074.9791666667,425.4543,414.3633
77075,425.2854,417.1317
77075.0208333333,422.3974,408.2799
77075.0416666667,419.1911,402.8986
77075.0625,418.0258,403.2178
77075.0833333333,417.398,400.0038
77075.1041666667,417.6964,403.4236
77075.125,417.9284,406.6381
77075.1458333333,416.4922,405.3415
77075.1666666667,415.5064,402.3915
77075.1875,415.5742,399.7927
77075.2083333333,416.0668,398.3234
77075.2291666667,416.4234,396.7794
77075.25,417.2724,393.6416
77075.2708333333,419.568,401.9715
77075.2916666667,421.0332,402.3432
77075.3125,425.2336,403.1243
77075.3333333333,430.3005,406.7961
77075.3541666667,438.2109,404.3716
77075.375,443.6877,406.3575
77075.3958333333,442.4387,407.6512
77075.4166666667,452.5412,408.8488
77075.4375,468.7814,411.0517
77075.4583333333,479.1991,414.3592
77075.4791666667,487.4299,417.7065
77075.5,494.2265,427.2917
77075.5208333333,488.0263,427.7107
77075.5416666667,513.2368,436.1559
77075.5625,509.4111,426.9025
77075.5833333333,502.563,433.2408
77075.6041666667,499.4886,433.3136
77075.625,468.4198,435.8206
77075.6458333333,439.7016,421.1275
77075.6666666667,439.2307,416.7965
77075.6875,429.5528,417.2086
77075.7083333333,432.114,410.938
77075.7291666667,433.3206,415.0934
77075.75,433.6926,416.6817
77075.7708333333,432.42,404.2763
77075.7916666667,430.9042,401.5205
77075.8125,427.2946,406.6506
77075.8333333333,425.4997,405.7458
77075.8541666667,426.1519,405.5785
77075.875,427.2206,408.3674
77075.8958333333,428.3911,410.8292
77075.9166666667,429.3262,412.2621
77075.9375,428.1821,416.6204
77075.9583333333,426.9189,418.1587
77075.9791666667,425.1362,416.4482
77076,423.6324,412.2904
77076.0208333333,422.9033,410.7552
77076.0416666667,421.804,407.6404
77076.0625,420.5901,405.7634
77076.0833333333,421.526,411.2922
77076.1041666667,423.1176,410.498
77076.125,422.7034,397.2822
77076.1458333333,423.6037,403.6419
77076.1666666667,423.6165,405.3317
77076.1875,422.3347,405.0709
77076.2083333333,422.956,410.0645
77076.2291666667,423.7798,411.1729
77076.25,425.2782,415.4281
77076.2708333333,427.019,415.5887
77076.2916666667,429.0379,417.0161
77076.3125,431.7155,412.9353
77076.3333333333,431.318,412.7415
77076.3541666667,430.4303,414.1907
77076.375,434.2268,415.4797
77076.3958333333,443.8538,414.2182
77076.4166666667,445.4385,419.9489
77076.4375,448.1032,421.1887
77076.4583333333,455.0798,424.9243
77076.4791666667,446.8299,424.6586
77076.5,437.361,419.7367
77076.5208333333,441.924,419.7785
77076.5416666667,450.1898,419.5769
77076.5625,453.9278,422.9559
77076.5833333333,455.2538,427.9243
77076.6041666667,448.5765,429.0479
77076.625,455.2639,432.0994
77076.6458333333,446.9072,430.3757
77076.6666666667,447.6841,429.819
77076.6875,452.5868,428.8869
77076.7083333333,445.1564,427.0365
77076.7291666667,442.0152,425.5395
77076.75,434.2396,423.8345
77076.7708333333,431.2081,423.1964
77076.7916666667,431.3864,419.4984
77076.8125,430.254,417.2924
77076.8333333333,430.9546,419.1858
77076.8541666667,431.1495,418.7977
77076.875,432.4579,419.5181
77076.8958333333,431.9114,417.4137
77076.9166666667,428.0676,417.956
77076.9375,427.8064,413.1526
77076.9583333333,426.1107,415.6392
77076.9791666667,423.751,413.5335
77077,423.2921,410.7697
77077.0208333333,424.3988,409.0595
77077.0416666667,424.6467,399.4199
77077.0625,424.8861,400.6652
77077.0833333333,426.4047,410.8493
77077.1041666667,426.8965,409.7255
77077.125,426.1284,418.9371
77077.1458333333,423.6145,417.7929
77077.1666666667,423.9426,413.8289
77077.1875,424.9325,416.8292
77077.2083333333,426.0232,421.2114
77077.2291666667,427.2394,423.4786
77077.25,428.1773,424.1438
77077.2708333333,429.778,423.8246
77077.2916666667,431.974,425.8559
77077.3125,435.406,424.5013
77077.3333333333,438.5293,418.9417
77077.3541666667,443.3899,427.9773
77077.375,444.8841,425.8533
77077.3958333333,445.0459,427.9053
77077.4166666667,444.2022,430.6135
77077.4375,442.5462,429.9821
77077.4583333333,442.8277,432.7275
77077.4791666667,435.1342,428.1802
77077.5,444.0909,430.3697
77077.5208333333,448.1656,432.4459
77077.5416666667,445.8783,433.8688
77077.5625,445.9143,434.8262
77077.5833333333,447.9071,436.3232
77077.6041666667,453.422,442.3367
77077.625,455.5684,446.1479
77077.6458333333,451.1959,440.5127
77077.6666666667,453.1935,439.1881
77077.6875,452.2943,441.2044
77077.7083333333,451.7536,438.2343
77077.7291666667,451.4562,436.6744
77077.75,451.7961,419.725
77077.7708333333,451.0119,412.8739
77077.7916666667,449.4794,422.346
77077.8125,447.3777,433.0748
77077.8333333333,445.4942,435.433
77077.8541666667,443.4141,424.5608
77077.875,443.0526,434.4581
77077.8958333333,440.097,430.4476
77077.9166666667,440.6763,430.9315
77077.9375,437.9928,432.2233
77077.9583333333,435.7588,421.2437
77077.9791666667,435.1323,421.3738
77078,435.2406,420.8922
77078.0208333333,436.5448,427.0846
77078.0416666667,436.8501,429.9621
77078.0625,434.7062,431.1991
77078.0833333333,433.8552,430.1021
77078.1041666667,434.2418,429.4664
77078.125,433.8196,429.2344
77078.1458333333,433.0788,428.588
77078.1666666667,432.391,424.1919
77078.1875,432.1007,425.0481
77078.2083333333,432.5996,427.223
77078.2291666667,433.214,426.1619
77078.25,434.0801,428.0148
77078.2708333333,433.5231,429.5627
77078.2916666667,435.125,427.5007
77078.3125,436.3628,426.5826
77078.3333333333,436.7125,428.2581
77078.3541666667,437.729,428.8999
77078.375,437.8629,429.6506
77078.3958333333,439.7211,429.857
77078.4166666667,449.8385,425.2749
77078.4375,455.7295,426.6999
77078.4583333333,462.1554,432.4711
77078.4791666667,461.1899,435.8333
77078.5,459.5092,439.7373
77078.5208333333,463.5125,440.6297
77078.5416666667,456.6596,443.7902
77078.5625,466.6786,443.9481
77078.5833333333,457.97,442.0141
77078.6041666667,467.2056,438.0775
77078.625,467.727,439.6956
77078.6458333333,468.0119,433.0387
77078.6666666667,464.1388,441.7221
77078.6875,459.4623,445.3729
77078.7083333333,456.9643,444.3695
77078.7291666667,452.0529,445.1187
77078.75,447.6823,442.0739
77078.7708333333,448.3641,441.0865
77078.7916666667,445.1991,439.9838
77078.8125,443.4712,438.8447
77078.8333333333,442.6388,436.1271
77078.8541666667,442.0686,434.6665
77078.875,440.2004,433.6409
77078.8958333333,438.7697,431.6393
77078.9166666667,438.804,433.2181
77078.9375,438.1961,432.6378
77078.9583333333,438.683,434.4564
77078.9791666667,439.6783,436.2816
77079,439.6931,435.2589
77079.0208333333,439.2582,433.259
77079.0416666667,436.435,427.9544
77079.0625,434.2339,423.7586
77079.0833333333,433.0884,418.2812
77079.1041666667,431.2007,419.0668
77079.125,432.0313,420.2031
77079.1458333333,432.3384,427.2085
77079.1666666667,429.7318,423.949
77079.1875,428.6429,423.0327
77079.2083333333,428.5895,423.5961
77079.2291666667,429.4437,422.0149
77079.25,430.698,427.1843
77079.2708333333,430.7351,426.547
77079.2916666667,428.2978,423.9893
77079.3125,426.896,422.6961
77079.3333333333,425.0447,420.0503
77079.3541666667,423.9949,418.5695
77079.375,422.4048,417.0706
77079.3958333333,423.4136,417.6391
77079.4166666667,424.3782,419.6091
77079.4375,425.9789,421.0677
77079.4583333333,427.0434,421.676
77079.4791666667,427.7138,422.4559
77079.5,427.4526,422.3292
77079.5208333333,429.4336,423.5623
77079.5416666667,438.7324,427.2589
77079.5625,445.7806,429.3602
77079.5833333333,444.6835,427.7956
77079.6041666667,454.4027,421.0575
77079.625,457.164,421.2172
77079.6458333333,453.0117,427.5239
77079.6666666667,465.2214,420.9048
77079.6875,459.8271,395.8118
77079.7083333333,463.1162,400.4779
